encounter_id,boss_name,zone_name,difficulty,difficulty_label,best_kill_seconds,avg_kill_seconds,total_kills,first_kill_date,latest_kill_date,best_kill_mm_ss
2412,The Council of Blood,Castle Nathria,4,Heroic,230,352.3636363636364,11,2021-01-27,2022-09-14,3m 50s
3011,Rik Reverb,Liberation of Undermine,5,Mythic,320,356.1666666666667,6,2025-04-07,2025-05-07,5m 20s
2592,"Sennarth, The Cold Breath",Vault of the Incarnates,5,Mythic,376,401.77777777777777,9,2023-01-25,2023-04-25,6m 16s
2435,Sylvanas Windrunner,Sanctum of Domination,4,Heroic,694,730.7142857142857,7,2021-08-16,2022-08-15,11m 34s
2542,"Skolex, the Insatiable Ravener",Sepulcher of the First Ones,4,Heroic,150,227.6,10,2022-03-02,2022-09-12,2m 30s
2682,Assault of the Zaqali,Vault of the Incarnates,4,Heroic,31,31.0,1,2024-08-19,2024-08-19,0m 31s
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",4,Heroic,152,230.16666666666666,12,2023-11-20,2024-06-19,2m 32s
2590,The Primal Council,Vault of the Incarnates,3,Normal,149,207.33333333333334,6,2022-12-14,2024-04-29,2m 29s
2432,Remnant of Ner'zhul,Sanctum of Domination,5,Mythic,339,353.0,2,2021-09-08,2021-09-29,5m 39s
3014,One-Armed Bandit,Liberation of Undermine,3,Normal,167,243.5,6,2025-03-05,2025-05-04,2m 47s
2918,Rasha'nan,Nerub-ar Palace,4,Heroic,158,258.42857142857144,14,2024-09-16,2025-01-13,2m 38s
2737,Volcoross,Vault of the Incarnates,4,Heroic,109,109.0,1,2024-08-19,2024-08-19,1m 49s
3179,Fallen-King Salhadaar,VS / DR / MQD,3,Normal,183,231.5,2,2026-03-18,2026-03-25,3m 03s
3010,Cauldron of Carnage,Liberation of Undermine,5,Mythic,317,370.6,10,2025-03-24,2025-05-07,5m 17s
3130,Soulbinder Naazindhri,Manaforge Omega,5,Mythic,302,342.875,8,2025-08-27,2025-10-15,5m 02s
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",3,Normal,249,347.1666666666667,6,2023-05-15,2024-05-01,4m 09s
3177,Vorasius,VS / DR / MQD,5,Mythic,374,374.0,1,2026-04-06,2026-04-06,6m 14s
2587,Eranog,Vault of the Incarnates,5,Mythic,159,186.69230769230768,13,2022-12-28,2024-05-15,2m 39s
2590,The Primal Council,Vault of the Incarnates,4,Heroic,120,167.11111111111111,9,2022-12-19,2024-08-19,2m 00s
2918,Rasha'nan,Nerub-ar Palace,5,Mythic,278,324.42857142857144,7,2024-10-21,2024-12-29,4m 38s
2605,Kurog Grimtotem,Vault of the Incarnates,3,Normal,210,276.1666666666667,6,2022-12-18,2024-04-29,3m 30s
2429,The Nine,Sanctum of Domination,3,Normal,204,283.0,6,2021-07-07,2021-09-02,3m 24s
2543,Lords of Dread,Sepulcher of the First Ones,3,Normal,327,398.6666666666667,3,2022-03-13,2022-03-30,5m 27s
3134,Nexus-King Salhadaar,Manaforge Omega,5,Mythic,183,332.3333333333333,3,2025-11-05,2026-01-26,3m 03s
3131,Loom'ithar,Manaforge Omega,3,Normal,117,144.0,3,2025-08-13,2025-11-23,1m 57s
2418,Huntsman Altimor,Castle Nathria,5,Mythic,283,312.9230769230769,13,2021-02-03,2021-04-05,4m 43s
2383,Hungering Destroyer,Castle Nathria,4,Heroic,101,248.4375,16,2021-01-27,2022-09-14,1m 41s
2820,Gnarlroot,"Amirdrassil, the Dream's Hope",4,Heroic,140,173.1818181818182,11,2023-11-15,2024-06-19,2m 20s
2635,"Dathea, Ascended",Vault of the Incarnates,4,Heroic,130,210.375,8,2022-12-26,2024-08-19,2m 10s
2684,Echo of Neltharion,Vault of the Incarnates,4,Heroic,215,215.0,1,2024-08-19,2024-08-19,3m 35s
2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",4,Heroic,174,231.9,10,2023-11-20,2024-06-19,2m 54s
2605,Kurog Grimtotem,Vault of the Incarnates,4,Heroic,122,282.0,9,2022-12-26,2024-08-19,2m 02s
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",4,Heroic,40,112.57142857142857,7,2023-05-15,2024-06-12,0m 40s
3131,Loom'ithar,Manaforge Omega,5,Mythic,313,360.42857142857144,7,2025-09-08,2025-10-15,5m 13s
3122,The Soul Hunters,Manaforge Omega,5,Mythic,370,395.5,2,2025-10-13,2025-10-20,6m 10s
2677,Fyrakk the Blazing,Vault of the Incarnates,4,Heroic,343,343.0,1,2024-08-19,2024-08-19,5m 43s
2399,Sludgefist,Castle Nathria,3,Normal,209,228.6,5,2021-01-31,2021-03-25,3m 29s
2683,Magmorax,"Aberrus, the Shadowed Crucible",3,Normal,119,177.5,6,2023-05-10,2024-05-01,1m 59s
3134,Nexus-King Salhadaar,Manaforge Omega,3,Normal,127,173.66666666666666,3,2025-08-13,2025-11-23,2m 07s
2902,Ulgrax the Devourer,Nerub-ar Palace,3,Normal,88,187.57142857142858,14,2024-09-11,2024-11-03,1m 28s
2693,The Forgotten Experiments,Vault of the Incarnates,4,Heroic,128,128.0,1,2024-08-19,2024-08-19,2m 08s
3122,The Soul Hunters,Manaforge Omega,4,Heroic,264,350.1111111111111,9,2025-08-18,2025-12-01,4m 24s
2737,Volcoross,"Amirdrassil, the Dream's Hope",5,Mythic,230,247.57142857142858,7,2023-12-11,2024-05-13,3m 50s
2921,The Silken Court,Nerub-ar Palace,3,Normal,235,301.53846153846155,13,2024-09-11,2024-11-03,3m 55s
2920,Nexus-Princess Ky'veza,Nerub-ar Palace,5,Mythic,362,362.0,1,2024-12-16,2024-12-16,6m 02s
2430,Painsmith Raznal,Sanctum of Domination,3,Normal,292,334.0,5,2021-08-08,2021-09-02,4m 52s
2553,Artificer Xy'mox,Sepulcher of the First Ones,4,Heroic,182,246.0,8,2022-03-14,2022-09-12,3m 02s
2614,Broodkeeper Diurna,Vault of the Incarnates,5,Mythic,503,523.0,2,2023-03-13,2023-04-19,8m 23s
2433,The Eye of the Jailer,Sanctum of Domination,5,Mythic,387,428.3333333333333,9,2021-08-16,2021-09-29,6m 27s
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",3,Normal,181,233.5,4,2023-11-15,2024-05-08,3m 01s
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",4,Heroic,286,338.45454545454544,11,2023-11-27,2024-06-19,4m 46s
3178,Vaelgor & Ezzorak,VS / DR / MQD,4,Heroic,318,412.5,4,2026-03-23,2026-04-08,5m 18s
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",5,Mythic,260,290.0,9,2023-05-31,2024-05-06,4m 20s
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",3,Normal,145,212.0,6,2023-05-10,2024-05-01,2m 25s
3135,"Dimensius, the All-Devouring",Manaforge Omega,5,Mythic,312,402.3333333333333,3,2026-01-20,2026-02-02,5m 12s
2917,The Bloodbound Horror,Nerub-ar Palace,4,Heroic,146,244.33333333333334,15,2024-09-16,2025-01-13,2m 26s
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",4,Heroic,234,272.27272727272725,11,2023-05-17,2024-06-12,3m 54s
2708,"Nymue, Weaver of the Cycle",Vault of the Incarnates,4,Heroic,138,138.0,1,2024-08-19,2024-08-19,2m 18s
2383,Hungering Destroyer,Castle Nathria,5,Mythic,311,336.2,10,2021-02-17,2021-04-05,5m 11s
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",5,Mythic,351,373.8,5,2023-12-13,2024-01-17,5m 51s
2592,"Sennarth, The Cold Breath",Vault of the Incarnates,4,Heroic,169,239.1,10,2022-12-19,2024-08-19,2m 49s
2680,"Rashok, the Elder",Vault of the Incarnates,4,Heroic,132,132.0,1,2024-08-19,2024-08-19,2m 12s
2607,Raszageth the Storm-Eater,Vault of the Incarnates,5,Mythic,745,752.5,2,2023-04-12,2023-04-24,12m 25s
3176,Imperator Averzian,VS / DR / MQD,4,Heroic,169,233.75,4,2026-03-23,2026-04-08,2m 49s
2687,The Amalgamation Chamber,Vault of the Incarnates,4,Heroic,127,127.0,1,2024-08-19,2024-08-19,2m 07s
2693,The Forgotten Experiments,"Aberrus, the Shadowed Crucible",3,Normal,146,200.66666666666666,6,2023-05-10,2024-05-01,2m 26s
3180,Lightblinded Vanguard,VS / DR / MQD,3,Normal,191,310.0,2,2026-03-18,2026-03-25,3m 11s
2433,The Eye of the Jailer,Sanctum of Domination,3,Normal,215,257.6666666666667,6,2021-07-07,2021-09-02,3m 35s
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",3,Normal,175,280.6666666666667,6,2023-05-10,2024-05-01,2m 55s
2917,The Bloodbound Horror,Nerub-ar Palace,5,Mythic,201,232.375,8,2024-10-14,2024-12-29,3m 21s
2405,Artificer Xy'mox,Castle Nathria,3,Normal,241,268.0,2,2021-01-31,2021-03-25,4m 01s
2543,Lords of Dread,Sepulcher of the First Ones,4,Heroic,304,392.4,5,2022-04-04,2022-09-12,5m 04s
2687,The Amalgamation Chamber,"Aberrus, the Shadowed Crucible",5,Mythic,262,334.0,10,2023-05-29,2024-05-06,4m 22s
2434,Soulrender Dormazain,Sanctum of Domination,4,Heroic,220,297.9,10,2021-07-14,2022-08-31,3m 40s
2918,Rasha'nan,Nerub-ar Palace,3,Normal,121,158.57142857142858,14,2024-09-11,2024-11-03,2m 01s
2824,Smolderon,"Amirdrassil, the Dream's Hope",4,Heroic,185,243.46153846153845,13,2023-11-21,2024-06-19,3m 05s
2728,Council of Dreams,Vault of the Incarnates,4,Heroic,145,145.0,1,2024-08-19,2024-08-19,2m 25s
2902,Ulgrax the Devourer,Nerub-ar Palace,4,Heroic,171,258.26666666666665,15,2024-09-11,2025-01-13,2m 51s
2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,317,391.0,11,2022-03-02,2022-09-12,5m 17s
2406,Lady Inerva Darkvein,Castle Nathria,5,Mythic,335,344.5,2,2021-03-15,2021-03-29,5m 35s
2731,"Larodar, Keeper of the Flame",Vault of the Incarnates,4,Heroic,154,154.0,1,2024-08-19,2024-08-19,2m 34s
2432,Remnant of Ner'zhul,Sanctum of Domination,3,Normal,162,249.83333333333334,6,2021-07-07,2021-09-02,2m 42s
3180,Lightblinded Vanguard,VS / DR / MQD,4,Heroic,246,263.0,3,2026-03-30,2026-04-08,4m 06s
3015,"Mug'Zee, Heads of Security",Liberation of Undermine,3,Normal,209,261.0,6,2025-03-05,2025-05-04,3m 29s
3013,Sprocketmonger Lockenstock,Liberation of Undermine,3,Normal,147,203.16666666666666,6,2025-03-05,2025-05-04,2m 27s
2423,The Tarragrue,Sanctum of Domination,5,Mythic,196,285.0,12,2021-08-02,2022-02-25,3m 16s
2406,Lady Inerva Darkvein,Castle Nathria,3,Normal,336,336.0,1,2021-01-31,2021-01-31,5m 36s
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",4,Heroic,161,215.57142857142858,7,2023-05-15,2024-06-12,2m 41s
2432,Remnant of Ner'zhul,Sanctum of Domination,4,Heroic,162,234.76923076923077,13,2021-07-12,2022-08-31,2m 42s
2431,Fatescribe Roh-Kalo,Sanctum of Domination,3,Normal,355,406.75,4,2021-08-08,2021-09-02,5m 55s
3176,Imperator Averzian,VS / DR / MQD,5,Mythic,420,420.0,1,2026-04-06,2026-04-06,7m 00s
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",3,Normal,39,131.66666666666666,6,2023-05-10,2024-05-01,0m 39s
2540,"Dausegne, the Fallen Oracle",Sepulcher of the First Ones,5,Mythic,323,323.0,1,2022-05-11,2022-05-11,5m 23s
3016,Chrome King Gallywix,Liberation of Undermine,5,Mythic,436,436.0,1,2025-07-16,2025-07-16,7m 16s
2430,Painsmith Raznal,Sanctum of Domination,4,Heroic,267,342.09090909090907,11,2021-07-19,2022-08-31,4m 27s
2693,The Forgotten Experiments,"Aberrus, the Shadowed Crucible",4,Heroic,157,199.85714285714286,7,2023-05-15,2024-06-12,2m 37s
2405,Artificer Xy'mox,Castle Nathria,5,Mythic,313,361.0,6,2021-02-24,2021-03-31,5m 13s
3177,Vorasius,VS / DR / MQD,3,Normal,175,231.5,2,2026-03-18,2026-03-25,2m 55s
2917,The Bloodbound Horror,Nerub-ar Palace,3,Normal,126,163.42857142857142,14,2024-09-11,2024-11-03,2m 06s
3176,Imperator Averzian,VS / DR / MQD,3,Normal,158,187.5,2,2026-03-18,2026-03-25,2m 38s
1094,Malygos,Castle Nathria,3,Normal,87,87.0,1,2021-03-25,2021-03-25,1m 27s
2677,Fyrakk the Blazing,"Amirdrassil, the Dream's Hope",4,Heroic,356,417.8181818181818,11,2023-11-27,2024-06-19,5m 56s
2546,Anduin Wrynn,Sepulcher of the First Ones,4,Heroic,321,475.2857142857143,7,2022-03-23,2022-09-12,5m 21s
2402,Sun King's Salvation,Castle Nathria,4,Heroic,181,275.6363636363636,11,2021-01-27,2022-09-14,3m 01s
2405,Artificer Xy'mox,Castle Nathria,4,Heroic,138,268.6666666666667,12,2021-01-27,2022-09-14,2m 18s
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",3,Normal,116,197.83333333333334,6,2023-05-10,2024-05-01,1m 56s
2786,"Tindral Sageswift, Seer of the Flame",Vault of the Incarnates,4,Heroic,303,303.0,1,2024-08-19,2024-08-19,5m 03s
3179,Fallen-King Salhadaar,VS / DR / MQD,4,Heroic,234,300.75,4,2026-03-23,2026-04-08,3m 54s
2921,The Silken Court,Nerub-ar Palace,5,Mythic,437,437.0,1,2025-01-29,2025-01-29,7m 17s
2398,Shriekwing,Castle Nathria,4,Heroic,86,203.72,25,2021-01-27,2022-09-14,1m 26s
2537,The Jailer,Sepulcher of the First Ones,4,Heroic,487,518.3333333333334,3,2022-04-25,2022-08-22,8m 07s
2587,Eranog,Vault of the Incarnates,3,Normal,121,165.5,6,2022-12-14,2024-04-29,2m 01s
3183,Midnight Falls,VS / DR / MQD,3,Normal,259,259.0,1,2026-04-01,2026-04-01,4m 19s
2422,Kel'Thuzad,Sanctum of Domination,4,Heroic,327,369.125,8,2021-08-02,2022-08-31,5m 27s
2917,The Bloodbound Horror,Manaforge Omega,5,Mythic,29,29.0,1,2026-01-26,2026-01-26,0m 29s
2708,"Nymue, Weaver of the Cycle","Amirdrassil, the Dream's Hope",5,Mythic,407,409.0,3,2024-01-08,2024-01-17,6m 47s
2429,The Nine,Sanctum of Domination,4,Heroic,210,298.35714285714283,14,2021-07-12,2022-08-31,3m 30s
2922,Queen Ansurek,Nerub-ar Palace,4,Heroic,361,393.0,6,2024-10-07,2024-12-29,6m 01s
2398,Shriekwing,Castle Nathria,3,Normal,185,201.66666666666666,3,2021-01-31,2021-02-14,3m 05s
3177,Vorasius,VS / DR / MQD,4,Heroic,213,272.25,4,2026-03-23,2026-04-08,3m 33s
2590,The Primal Council,Vault of the Incarnates,5,Mythic,185,222.14285714285714,14,2023-01-02,2024-05-15,3m 05s
3010,Cauldron of Carnage,Liberation of Undermine,3,Normal,138,182.83333333333334,6,2025-03-05,2025-05-04,2m 18s
2422,Kel'Thuzad,Sanctum of Domination,5,Mythic,416,425.5,2,2021-12-08,2022-02-25,6m 56s
2902,Ulgrax the Devourer,Nerub-ar Palace,5,Mythic,342,419.0,9,2024-10-07,2024-12-29,5m 42s
3178,Vaelgor & Ezzorak,VS / DR / MQD,3,Normal,258,321.0,2,2026-03-18,2026-03-25,4m 18s
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",5,Mythic,443,443.0,1,2023-10-11,2023-10-11,7m 23s
2398,Shriekwing,Castle Nathria,5,Mythic,259,338.0,12,2021-02-03,2021-03-31,4m 19s
3130,Soulbinder Naazindhri,Manaforge Omega,3,Normal,144,165.66666666666666,3,2025-08-13,2025-11-23,2m 24s
2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,235,345.3636363636364,11,2024-09-16,2025-01-13,3m 55s
2431,Fatescribe Roh-Kalo,Sanctum of Domination,5,Mythic,477,477.0,1,2021-11-29,2021-11-29,7m 57s
2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,366,395.0,3,2022-03-06,2022-03-16,6m 06s
3012,Stix Bunkjunker,Liberation of Undermine,5,Mythic,356,365.3333333333333,3,2025-04-21,2025-05-07,5m 56s
2407,Sire Denathrius,Castle Nathria,3,Normal,390,445.0,5,2021-01-31,2021-03-25,6m 30s
2399,Sludgefist,Castle Nathria,4,Heroic,131,260.5882352941176,17,2021-01-27,2022-09-14,2m 11s
2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,474,474.0,1,2024-11-25,2024-11-25,7m 54s
2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,313,313.0,1,2021-11-08,2021-11-08,5m 13s
2683,Magmorax,Vault of the Incarnates,4,Heroic,124,124.0,1,2024-08-19,2024-08-19,2m 04s
2820,Gnarlroot,"Amirdrassil, the Dream's Hope",5,Mythic,207,253.25,8,2023-11-29,2024-05-13,3m 27s
2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,352,368.0,3,2022-04-11,2022-05-02,5m 52s
2607,Raszageth the Storm-Eater,Vault of the Incarnates,4,Heroic,464,567.4444444444445,9,2023-01-09,2024-08-19,7m 44s
3181,Crown of the Cosmos,VS / DR / MQD,4,Heroic,503,523.0,2,2026-04-01,2026-04-08,8m 23s
2607,Raszageth the Storm-Eater,Vault of the Incarnates,3,Normal,453,568.6,5,2022-12-19,2024-04-24,7m 33s
3134,Nexus-King Salhadaar,Manaforge Omega,4,Heroic,251,305.8,5,2025-08-25,2025-09-17,4m 11s
3014,One-Armed Bandit,Liberation of Undermine,5,Mythic,367,367.0,1,2025-06-02,2025-06-02,6m 07s
2687,The Amalgamation Chamber,"Aberrus, the Shadowed Crucible",4,Heroic,135,203.375,8,2023-05-15,2024-06-12,2m 15s
3181,Crown of the Cosmos,VS / DR / MQD,3,Normal,391,455.0,2,2026-03-18,2026-03-25,6m 31s
2898,"Sikran, Captain of the Sureki",Nerub-ar Palace,3,Normal,117,145.71428571428572,14,2024-09-11,2024-11-03,1m 57s
3016,Chrome King Gallywix,Liberation of Undermine,3,Normal,242,336.5,6,2025-03-05,2025-05-04,4m 02s
2407,Sire Denathrius,Castle Nathria,4,Heroic,237,391.95652173913044,23,2021-01-25,2022-09-14,3m 57s
2688,"Kazzara, the Hellforged","Aberrus, the Shadowed Crucible",5,Mythic,230,290.72727272727275,11,2023-05-22,2024-05-06,3m 50s
2689,"The Vigilant Steward, Zskarn",Vault of the Incarnates,4,Heroic,112,112.0,1,2024-08-19,2024-08-19,1m 52s
3013,Sprocketmonger Lockenstock,Liberation of Undermine,5,Mythic,311,311.0,1,2025-05-21,2025-05-21,5m 11s
3015,"Mug'Zee, Heads of Security",Liberation of Undermine,4,Heroic,166,249.75,20,2025-03-17,2025-07-30,2m 46s
2417,Stone Legion Generals,Castle Nathria,4,Heroic,259,387.45454545454544,22,2021-01-27,2022-09-14,4m 19s
3009,Vexie and the Geargrinders,Liberation of Undermine,3,Normal,143,178.5,6,2025-03-05,2025-05-04,2m 23s
3131,Loom'ithar,Manaforge Omega,4,Heroic,157,255.71428571428572,7,2025-08-13,2025-12-01,2m 37s
2406,Lady Inerva Darkvein,Castle Nathria,4,Heroic,107,243.46153846153845,13,2021-01-27,2022-09-14,1m 47s
2693,The Forgotten Experiments,"Aberrus, the Shadowed Crucible",5,Mythic,292,326.14285714285717,7,2023-06-12,2024-05-06,4m 52s
2537,The Jailer,Sepulcher of the First Ones,3,Normal,403,403.0,1,2022-03-30,2022-03-30,6m 43s
2688,"Kazzara, the Hellforged","Aberrus, the Shadowed Crucible",3,Normal,117,165.33333333333334,6,2023-05-10,2024-05-01,1m 57s
3012,Stix Bunkjunker,Liberation of Undermine,3,Normal,200,253.66666666666666,6,2025-03-05,2025-05-04,3m 20s
2685,Scalecommander Sarkareth,Vault of the Incarnates,4,Heroic,253,253.0,1,2024-08-19,2024-08-19,4m 13s
3009,Vexie and the Geargrinders,Liberation of Undermine,5,Mythic,307,337.6666666666667,9,2025-03-24,2025-05-07,5m 07s
2708,"Nymue, Weaver of the Cycle","Amirdrassil, the Dream's Hope",4,Heroic,154,213.11111111111111,9,2023-11-20,2024-06-19,2m 34s
3009,Vexie and the Geargrinders,Liberation of Undermine,4,Heroic,119,178.625,24,2025-03-05,2025-07-30,1m 59s
3129,Plexus Sentinel,Manaforge Omega,4,Heroic,147,249.57142857142858,7,2025-08-13,2025-12-01,2m 27s
3013,Sprocketmonger Lockenstock,Liberation of Undermine,4,Heroic,192,255.9,10,2025-03-10,2025-07-30,3m 12s
3010,Cauldron of Carnage,Liberation of Undermine,4,Heroic,153,246.16666666666666,12,2025-03-10,2025-07-30,2m 33s
2635,"Dathea, Ascended",Vault of the Incarnates,3,Normal,132,212.16666666666666,6,2022-12-14,2024-04-29,2m 12s
2709,Igira the Cruel,Vault of the Incarnates,4,Heroic,135,135.0,1,2024-08-19,2024-08-19,2m 15s
2435,Sylvanas Windrunner,Sanctum of Domination,5,Mythic,859,859.0,1,2022-02-22,2022-02-22,14m 19s
2542,"Skolex, the Insatiable Ravener",Sepulcher of the First Ones,3,Normal,198,210.66666666666666,3,2022-03-06,2022-03-16,3m 18s
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",5,Mythic,417,420.0,2,2023-08-16,2023-10-30,6m 57s
3130,Soulbinder Naazindhri,Manaforge Omega,4,Heroic,186,252.14285714285714,7,2025-08-18,2025-12-01,3m 06s
3135,"Dimensius, the All-Devouring",Manaforge Omega,3,Normal,322,383.0,4,2025-08-13,2025-12-01,5m 22s
2709,Igira the Cruel,"Amirdrassil, the Dream's Hope",4,Heroic,159,219.36363636363637,11,2023-11-15,2024-06-19,2m 39s
2434,Soulrender Dormazain,Sanctum of Domination,3,Normal,183,246.0,6,2021-07-07,2021-09-02,3m 03s
2553,Artificer Xy'mox,Sepulcher of the First Ones,5,Mythic,447,447.0,1,2022-05-16,2022-05-16,7m 27s
2605,Kurog Grimtotem,Vault of the Incarnates,5,Mythic,475,504.5,6,2023-02-06,2023-03-08,7m 55s
2709,Igira the Cruel,"Amirdrassil, the Dream's Hope",3,Normal,135,182.75,4,2023-11-15,2024-05-08,2m 15s
2708,"Nymue, Weaver of the Cycle","Amirdrassil, the Dream's Hope",3,Normal,100,132.75,4,2023-11-15,2024-05-08,1m 40s
2429,The Nine,Sanctum of Domination,5,Mythic,338,388.375,8,2021-08-23,2021-09-29,5m 38s
3129,Plexus Sentinel,Manaforge Omega,5,Mythic,248,353.5,10,2025-08-25,2026-01-26,4m 08s
2435,Sylvanas Windrunner,Sanctum of Domination,3,Normal,666,747.25,4,2021-08-08,2021-09-02,11m 06s
2898,"Sikran, Captain of the Sureki",Nerub-ar Palace,5,Mythic,251,281.25,8,2024-10-14,2024-12-29,4m 11s
2539,"Lihuvim, Principal Architect",Sepulcher of the First Ones,3,Normal,137,187.4,5,2022-03-06,2022-03-30,2m 17s
3182,"Belo'ren, Child of Al'ar",VS / DR / MQD,4,Heroic,223,223.0,1,2026-04-08,2026-04-08,3m 43s
3133,Fractillus,Manaforge Omega,5,Mythic,276,296.25,4,2025-09-29,2025-10-15,4m 36s
3015,"Mug'Zee, Heads of Security",Manaforge Omega,5,Mythic,105,105.0,1,2026-01-26,2026-01-26,1m 45s
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",4,Heroic,267,329.7,10,2023-05-29,2024-06-12,4m 27s
2639,Terros,Vault of the Incarnates,4,Heroic,134,209.8,10,2022-12-19,2024-08-19,2m 14s
2549,Rygelon,Sepulcher of the First Ones,3,Normal,192,244.66666666666666,3,2022-03-14,2022-03-30,3m 12s
3011,Rik Reverb,Liberation of Undermine,4,Heroic,153,218.91666666666666,12,2025-03-10,2025-07-30,2m 33s
2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",3,Normal,127,166.5,4,2023-11-15,2024-05-08,2m 07s
2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,213,266.45454545454544,11,2021-07-19,2022-08-31,3m 33s
3012,Stix Bunkjunker,Liberation of Undermine,4,Heroic,235,310.2,10,2025-03-10,2025-07-30,3m 55s
2639,Terros,Vault of the Incarnates,3,Normal,170,230.0,6,2022-12-14,2024-04-29,2m 50s
3009,Vexie and the Geargrinders,Manaforge Omega,5,Mythic,107,107.0,1,2026-01-26,2026-01-26,1m 47s
2540,"Dausegne, the Fallen Oracle",Sepulcher of the First Ones,4,Heroic,127,183.9,10,2022-03-06,2022-09-12,2m 07s
2635,"Dathea, Ascended",Vault of the Incarnates,5,Mythic,414,418.0,3,2023-02-20,2023-03-08,6m 54s
2687,The Amalgamation Chamber,"Aberrus, the Shadowed Crucible",3,Normal,124,156.33333333333334,6,2023-05-10,2024-05-01,2m 04s
