player_name,player_class,total_raids_tracked,raids_present,raids_benched,raids_absent,last_raid_date,first_raid_date,zones_attended,attendance_rate_pct
Xariall,Druid,2,2,0,0,2022-02-25,2022-01-10,"[""Sanctum of Domination""]",100.0
Larssonock,Warlock,16,16,0,0,2023-05-24,2021-01-31,"[""Castle Nathria"",""Vault of the Incarnates"",""Aberrus, the Shadowed Crucible""]",100.0
Evexia,Evoker,1,1,0,0,2025-07-06,2025-07-06,"[""Liberation of Undermine""]",100.0
Slitz,Warlock,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Белёсая,Priest,1,1,0,0,2021-03-25,2021-03-25,"[""Castle Nathria""]",100.0
Nopaladin,Paladin,49,49,0,0,2023-04-25,2022-12-14,"[""Vault of the Incarnates""]",100.0
Brákó,Druid,1,1,0,0,2021-02-07,2021-02-07,"[""Castle Nathria""]",100.0
Gomezz,Mage,1,1,0,0,2021-04-04,2021-04-04,"[""Castle Nathria""]",100.0
Rorovoker,Evoker,8,8,0,0,2024-10-02,2023-10-18,"[""Aberrus, the Shadowed Crucible"",""Nerub-ar Palace""]",100.0
Emvoker,Evoker,1,1,0,0,2024-05-15,2024-05-15,"[""Vault of the Incarnates""]",100.0
Nohunter,Hunter,5,5,0,0,2022-09-14,2022-08-15,"[""Castle Nathria"",""Sanctum of Domination"",""Sepulcher of the First Ones""]",100.0
Bughar,Warlock,1,1,0,0,2021-08-15,2021-08-15,"[""Sanctum of Domination""]",100.0
Belcarra,Rogue,2,2,0,0,2024-10-27,2024-10-13,"[""Nerub-ar Palace"",""Blackrock Depths""]",100.0
Makke,Unknown,1,1,0,0,2025-03-05,2025-03-05,"[""Liberation of Undermine""]",100.0
Drrdoom,Warrior,1,1,0,0,2024-01-24,2024-01-24,"[""Amirdrassil, the Dream's Hope""]",100.0
Juicymom,Priest,1,1,0,0,2023-11-20,2023-11-20,"[""Amirdrassil, the Dream's Hope""]",100.0
Katchi,Monk,2,2,0,0,2026-02-02,2026-01-26,"[""Manaforge Omega""]",100.0
Drakaro,Druid,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Spunkmachine,Paladin,3,3,0,0,2023-05-22,2023-05-15,"[""Aberrus, the Shadowed Crucible""]",100.0
Bigdieter,Druid,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Viktortsoy,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Tmi,Warlock,39,39,0,0,2026-01-20,2025-08-13,"[""Manaforge Omega""]",100.0
Killyaan,DeathKnight,1,1,0,0,2024-01-24,2024-01-24,"[""Amirdrassil, the Dream's Hope""]",100.0
Kickaapoo,Mage,1,1,0,0,2021-03-20,2021-03-20,"[""Castle Nathria""]",100.0
Tiggsy,Paladin,1,1,0,0,2025-05-18,2025-05-18,"[""Liberation of Undermine""]",100.0
Whitewôlf,Hunter,1,1,0,0,2022-09-12,2022-09-12,"[""Sepulcher of the First Ones""]",100.0
Gróx,Shaman,1,1,0,0,2023-11-27,2023-11-27,"[""Amirdrassil, the Dream's Hope""]",100.0
Churraky,Hunter,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Pepka,Shaman,1,1,0,0,2024-01-07,2024-01-07,"[""Amirdrassil, the Dream's Hope""]",100.0
Endeering,Hunter,1,1,0,0,2024-06-19,2024-06-19,"[""Amirdrassil, the Dream's Hope""]",100.0
Шпнедамажат,Priest,1,1,0,0,2021-04-04,2021-04-04,"[""Castle Nathria""]",100.0
Bamhurger,Monk,1,1,0,0,2021-10-07,2021-10-07,"[""Castle Nathria""]",100.0
Malee,DemonHunter,2,2,0,0,2022-08-31,2022-08-17,"[""Sanctum of Domination"",""Sepulcher of the First Ones""]",100.0
Ozzÿ,Warlock,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Xaxatumba,Shaman,1,1,0,0,2021-03-12,2021-03-12,"[""Castle Nathria""]",100.0
Lisicata,Druid,2,2,0,0,2025-03-25,2025-03-16,"[""Liberation of Undermine""]",100.0
Norodk,DeathKnight,1,1,0,0,2021-04-18,2021-04-18,"[""Castle Nathria""]",100.0
Oceanblvd,Druid,3,3,0,0,2025-09-14,2025-04-30,"[""Liberation of Undermine"",""Manaforge Omega""]",100.0
Ereasz,Priest,1,1,0,0,2025-03-23,2025-03-23,"[""Liberation of Undermine""]",100.0
Dadrok,DeathKnight,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Director,Mage,1,1,0,0,2024-09-29,2024-09-29,"[""Nerub-ar Palace""]",100.0
Gobbernut,Shaman,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Hygieia,Druid,1,1,0,0,2025-05-18,2025-05-18,"[""Liberation of Undermine""]",100.0
Luzihunt,Hunter,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Shiffo,Monk,1,1,0,0,2021-08-15,2021-08-15,"[""Sanctum of Domination""]",100.0
Liliaria,Druid,1,1,0,0,2025-05-18,2025-05-18,"[""Liberation of Undermine""]",100.0
Huzz,Druid,1,1,0,0,2025-11-23,2025-11-23,"[""Manaforge Omega""]",100.0
Stormblaster,Shaman,1,1,0,0,2024-01-24,2024-01-24,"[""Amirdrassil, the Dream's Hope""]",100.0
Dekukun,Priest,1,1,0,0,2021-03-12,2021-03-12,"[""Castle Nathria""]",100.0
Andeya,Mage,1,1,0,0,2021-03-10,2021-03-10,"[""Castle Nathria""]",100.0
Øvade,Hunter,1,1,0,0,2023-06-04,2023-06-04,"[""Aberrus, the Shadowed Crucible""]",100.0
Kenshî,Hunter,1,1,0,0,2021-03-10,2021-03-10,"[""Castle Nathria""]",100.0
Bigwargold,Warrior,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Babylón,Priest,1,1,0,0,2021-04-04,2021-04-04,"[""Castle Nathria""]",100.0
Thédewil,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Сакросанктус,Mage,2,2,0,0,2021-03-21,2021-03-21,"[""Castle Nathria""]",100.0
Hahaokwtfxd,Hunter,1,1,0,0,2025-05-25,2025-05-25,"[""Liberation of Undermine""]",100.0
Tsmspargla,Warrior,1,1,0,0,2021-03-10,2021-03-10,"[""Castle Nathria""]",100.0
Fillheat,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Goonpal,Paladin,2,2,0,0,2021-03-07,2021-03-07,"[""Castle Nathria""]",100.0
Nilshaman,Shaman,1,1,0,0,2021-03-10,2021-03-10,"[""Castle Nathria""]",100.0
Fogstar,Hunter,1,1,0,0,2021-03-28,2021-03-28,"[""Castle Nathria""]",100.0
Enjiedk,DeathKnight,37,37,0,0,2026-01-26,2025-06-18,"[""Manaforge Omega"",""Liberation of Undermine""]",100.0
Blackmont,Druid,1,1,0,0,2021-04-04,2021-04-04,"[""Castle Nathria""]",100.0
Yoltoar,Hunter,23,23,0,0,2021-03-15,2021-02-03,"[""Castle Nathria"",""Mythic+ Seasons 1 - 3""]",100.0
Yellowbb,Paladin,2,2,0,0,2024-10-13,2024-10-06,"[""Nerub-ar Palace""]",100.0
Gedva,Priest,1,1,0,0,2022-09-14,2022-09-14,"[""Castle Nathria""]",100.0
Sizzorina,Monk,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Lyondwarf,Mage,1,1,0,0,2024-04-29,2024-04-29,"[""Vault of the Incarnates""]",100.0
Ногромз,Warlock,1,1,0,0,2021-09-02,2021-09-02,"[""Sanctum of Domination""]",100.0
Hordèath,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Olvotol,DemonHunter,1,1,0,0,2021-04-14,2021-04-14,"[""Castle Nathria""]",100.0
Poumba,Druid,1,1,0,0,2021-04-04,2021-04-04,"[""Castle Nathria""]",100.0
Demboypaigon,Warrior,5,5,0,0,2023-07-10,2023-02-01,"[""Vault of the Incarnates"",""Aberrus, the Shadowed Crucible""]",100.0
Dinyaal,DemonHunter,1,1,0,0,2021-03-20,2021-03-20,"[""Castle Nathria""]",100.0
Zanelor,Paladin,3,3,0,0,2021-02-24,2021-01-31,"[""Castle Nathria""]",100.0
Shyanaa,Hunter,1,1,0,0,2025-03-23,2025-03-23,"[""Liberation of Undermine""]",100.0
Adriank,DeathKnight,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Shmimishmimi,Druid,1,1,0,0,2025-07-06,2025-07-06,"[""Liberation of Undermine""]",100.0
Nelthias,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Blindguardx,Druid,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Meowdyqt,Warrior,3,3,0,0,2024-09-29,2024-09-15,"[""Nerub-ar Palace""]",100.0
Mixtus,Warlock,29,29,0,0,2021-04-14,2021-02-07,"[""Castle Nathria""]",100.0
Wakozer,Evoker,1,1,0,0,2023-04-19,2023-04-19,"[""Vault of the Incarnates""]",100.0
Eyepapi,DemonHunter,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Sledgehammer,Paladin,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Neøn,DemonHunter,1,1,0,0,2021-08-15,2021-08-15,"[""Sanctum of Domination""]",100.0
Файрин,Mage,1,1,0,0,2024-10-30,2024-10-30,"[""Nerub-ar Palace""]",100.0
Lubrikator,Warlock,61,61,0,0,2024-11-25,2022-08-29,"[""Vault of the Incarnates"",""Aberrus, the Shadowed Crucible"",""Nerub-ar Palace"",""Castle Nathria"",""Amirdrassil, the Dream's Hope""]",100.0
Linirune,DeathKnight,2,2,0,0,2024-10-02,2024-09-29,"[""Nerub-ar Palace""]",100.0
Decoý,DemonHunter,1,1,0,0,2021-03-12,2021-03-12,"[""Castle Nathria""]",100.0
Cryptod,DeathKnight,4,4,0,0,2022-04-27,2021-08-15,"[""Sanctum of Domination"",""Sepulcher of the First Ones""]",100.0
Hakketkål,Shaman,1,1,0,0,2021-03-25,2021-03-25,"[""Castle Nathria""]",100.0
Larssonogue,Rogue,1,1,0,0,2024-11-24,2024-11-24,"[""Nerub-ar Palace""]",100.0
Arctix,Mage,1,1,0,0,2023-02-26,2023-02-26,"[""Vault of the Incarnates""]",100.0
Sandwiches,Hunter,26,26,0,0,2023-04-19,2022-12-14,"[""Vault of the Incarnates""]",100.0
Nizdk,DeathKnight,1,1,0,0,2021-12-27,2021-12-27,"[""Sanctum of Domination""]",100.0
Cøw,Paladin,1,1,0,0,2023-11-20,2023-11-20,"[""Amirdrassil, the Dream's Hope""]",100.0
Overated,Paladin,1,1,0,0,2026-01-19,2026-01-19,"[""Manaforge Omega""]",100.0
Lilmeowdy,Rogue,1,1,0,0,2022-09-14,2022-09-14,"[""Castle Nathria""]",100.0
Blancobenz,DeathKnight,4,4,0,0,2023-12-27,2023-11-15,"[""Amirdrassil, the Dream's Hope""]",100.0
Cocainekate,Warlock,42,42,0,0,2024-11-11,2023-11-15,"[""Aberrus, the Shadowed Crucible"",""Nerub-ar Palace"",""Amirdrassil, the Dream's Hope""]",100.0
Thehóff,Warrior,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Cutiefoxxo,DeathKnight,1,1,0,0,2021-01-31,2021-01-31,"[""Castle Nathria""]",100.0
Ruuten,Shaman,1,1,0,0,2021-03-20,2021-03-20,"[""Castle Nathria""]",100.0
Deblaze,Shaman,1,1,0,0,2021-03-12,2021-03-12,"[""Castle Nathria""]",100.0
Supmahdude,Warlock,1,1,0,0,2021-03-10,2021-03-10,"[""Castle Nathria""]",100.0
Kátákúrí,Hunter,1,1,0,0,2023-05-21,2023-05-21,"[""Aberrus, the Shadowed Crucible""]",100.0
Shelory,DemonHunter,1,1,0,0,2023-06-04,2023-06-04,"[""Aberrus, the Shadowed Crucible""]",100.0
Olliejay,Paladin,37,37,0,0,2024-01-07,2023-05-10,"[""Aberrus, the Shadowed Crucible"",""Amirdrassil, the Dream's Hope""]",100.0
Mikec,Hunter,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Ashÿa,Druid,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Aragan,Warrior,1,1,0,0,2023-06-04,2023-06-04,"[""Aberrus, the Shadowed Crucible""]",100.0
Meircur,DeathKnight,1,1,0,0,2021-09-03,2021-09-03,"[""Sanctum of Domination""]",100.0
Scapter,Priest,1,1,0,0,2021-04-04,2021-04-04,"[""Castle Nathria""]",100.0
Yearningdru,Druid,1,1,0,0,2024-11-03,2024-11-03,"[""Nerub-ar Palace""]",100.0
Manoel,Warlock,1,1,0,0,2021-03-20,2021-03-20,"[""Castle Nathria""]",100.0
Kubarmate,Mage,1,1,0,0,2021-03-25,2021-03-25,"[""Castle Nathria""]",100.0
Arkoudeos,Druid,1,1,0,0,2021-03-12,2021-03-12,"[""Castle Nathria""]",100.0
Janaka,Priest,1,1,0,0,2025-01-13,2025-01-13,"[""Nerub-ar Palace""]",100.0
Mahios,Paladin,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Raborum,Warlock,2,2,0,0,2021-07-12,2021-07-12,"[""Sanctum of Domination""]",100.0
Asdaadd,Shaman,2,2,0,0,2025-03-23,2024-05-08,"[""Liberation of Undermine"",""Amirdrassil, the Dream's Hope""]",100.0
Piratina,DemonHunter,1,1,0,0,2021-03-20,2021-03-20,"[""Castle Nathria""]",100.0
Womblorm,Warrior,1,1,0,0,2024-09-29,2024-09-29,"[""Nerub-ar Palace""]",100.0
Yooywar,Warrior,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Lyricx,Druid,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Netwoodle,Mage,1,1,0,0,2024-10-06,2024-10-06,"[""Nerub-ar Palace""]",100.0
Cassettes,Warlock,2,2,0,0,2025-05-18,2025-03-05,"[""Liberation of Undermine""]",100.0
Smonkste,Monk,43,43,0,0,2025-03-26,2022-09-14,"[""Castle Nathria"",""Liberation of Undermine"",""Nerub-ar Palace"",""Aberrus, the Shadowed Crucible"",""Vault of the Incarnates""]",100.0
Landiiguru,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Axlrose,Paladin,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Zcampbell,Monk,5,5,0,0,2021-09-27,2021-09-13,"[""Sanctum of Domination""]",100.0
Ciabattiboi,Rogue,1,1,0,0,2021-03-20,2021-03-20,"[""Castle Nathria""]",100.0
Kaelinor,Mage,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Ashhex,Shaman,1,1,0,0,2021-09-03,2021-09-03,"[""Sanctum of Domination""]",100.0
Sinnërman,Hunter,1,1,0,0,2021-03-20,2021-03-20,"[""Castle Nathria""]",100.0
Blackóút,Shaman,1,1,0,0,2025-03-16,2025-03-16,"[""Liberation of Undermine""]",100.0
Juicychan,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Needsedative,Hunter,1,1,0,0,2024-10-30,2024-10-30,"[""Nerub-ar Palace""]",100.0
Rolis,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Akadark,Unknown,1,1,0,0,2025-03-05,2025-03-05,"[""Liberation of Undermine""]",100.0
nil,Priest,1,1,0,0,2021-08-15,2021-08-15,"[""Sanctum of Domination""]",100.0
Khazzat,Paladin,1,1,0,0,2023-06-04,2023-06-04,"[""Aberrus, the Shadowed Crucible""]",100.0
Axlvg,Rogue,1,1,0,0,2022-08-24,2022-08-24,"[""Castle Nathria""]",100.0
Xui,DemonHunter,1,1,0,0,2021-04-04,2021-04-04,"[""Castle Nathria""]",100.0
Пачхуль,DeathKnight,1,1,0,0,2023-11-20,2023-11-20,"[""Amirdrassil, the Dream's Hope""]",100.0
Billythecrit,Rogue,1,1,0,0,2023-04-19,2023-04-19,"[""Vault of the Incarnates""]",100.0
Zixdh,DemonHunter,2,2,0,0,2022-03-07,2022-02-25,"[""Sepulcher of the First Ones"",""Sanctum of Domination""]",100.0
Mätsu,DemonHunter,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Explorer,Paladin,87,87,0,0,2025-06-18,2024-09-11,"[""Liberation of Undermine"",""Blackrock Depths"",""Nerub-ar Palace""]",100.0
Tintalel,Druid,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Twallop,Paladin,1,1,0,0,2023-05-21,2023-05-21,"[""Aberrus, the Shadowed Crucible""]",100.0
Olixbear,Druid,19,19,0,0,2021-09-06,2021-07-19,"[""Sanctum of Domination""]",100.0
Benédictus,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Ohforfoxsake,Shaman,1,1,0,0,2021-03-20,2021-03-20,"[""Castle Nathria""]",100.0
Rzoc,Priest,1,1,0,0,2025-04-30,2025-04-30,"[""Liberation of Undermine""]",100.0
Elf,Priest,1,1,0,0,2023-12-27,2023-12-27,"[""Amirdrassil, the Dream's Hope""]",100.0
Temitiri,Shaman,125,125,0,0,2026-01-20,2023-05-21,"[""Nerub-ar Palace"",""Liberation of Undermine"",""Vault of the Incarnates"",""Manaforge Omega"",""Amirdrassil, the Dream's Hope"",""Aberrus, the Shadowed Crucible""]",100.0
Djwh,Mage,1,1,0,0,2024-10-30,2024-10-30,"[""Nerub-ar Palace""]",100.0
Skylapedia,Paladin,3,3,0,0,2021-10-18,2021-10-11,"[""Sanctum of Domination""]",100.0
Argentvixen,Paladin,1,1,0,0,2023-06-04,2023-06-04,"[""Aberrus, the Shadowed Crucible""]",100.0
Qiceti,Hunter,1,1,0,0,2025-09-14,2025-09-14,"[""Manaforge Omega""]",100.0
Meezy,Druid,2,2,0,0,2021-08-15,2021-08-15,"[""Sanctum of Domination""]",100.0
